ITEM  Number      BIN         HEX     
1     -39         1111011001  FFFFFFFFD9
2     -36         1111011100  FFFFFFFFDC
3     8           1000                 8
4     34          100010              22
5     17          10001               11
6     49          110001              31
7     5           101                  5
8     ABC         #VALUE!     #VALUE! 
9     0           0                    0
10    33          100001              21
11    12          1100                 C
12    -6          1111111010  FFFFFFFFFA
13    27          11011               1B
14    -4          1111111100  FFFFFFFFFC
15    -38         1111011010  FFFFFFFFDA
16    26          11010               1A
17    49          110001              31
18    29          11101               1D
19    42          101010              2A
20    -16         1111110000  FFFFFFFFF0
21    ERR         #VALUE!     #VALUE! 
22    34          100010              22
23    20          10100               14
24    0           0                    0
25    25          11001               19
26    45          101101              2D
27    3           11                   3
28    -46         1111010010  FFFFFFFFD2
29    -46         1111010010  FFFFFFFFD2
30    29          11101               1D
31    33          100001              21
32    29          11101               1D
33    26          11010               1A
34    -5          1111111011  FFFFFFFFFB
35    -36         1111011100  FFFFFFFFDC
36    12          1100                 C
37    45          101101              2D
38    -50         1111001110  FFFFFFFFCE
39    0           0                    0
40    -6          1111111010  FFFFFFFFFA
41    VAL         #VALUE!     #VALUE! 
Execution time: 0.000611 seconds
