ITEM  Number      BIN         HEX     
1     6980368     1100010000      6A8310
2     5517055     1011111111      542EFF
3     1336159     1101011111      14635F
4     6750185     1111101001      66FFE9
5     1771937     110100001       1B09A1
6     360952      111111000        581F8
7     5672561     1001110001      568E71
8     916583      1100111          DFC67
9     2700138     1101101010      29336A
10    9645053     1111111101      932BFD
11    1181110     110110110       1205B6
12    1492185     11011001        16C4D9
13    4018595     110100011       3D51A3
14    7654888     111101000       74CDE8
15    7062453     1110110101      6BC3B5
16    2478010     1110111010      25CFBA
17    6134768     1111110000      5D9BF0
18    8420417     1000001         807C41
19    2917489     1110001         2C8471
20    3340773     111100101       32F9E5
21    1115956     1100110100      110734
22    9172192     11100000        8BF4E0
23    6271996     1111111100      5FB3FC
24    8686939     101011011       848D5B
25    50986       1100101010        C72A
26    9376410     1010011010      8F129A
27    5962327     1001010111      5AFA57
28    7686891     1011101011      754AEB
29    6615183     10001111        64F08F
30    1864844     10001100        1C748C
31    3329962     1110101010      32CFAA
32    3942794     110001010       3C298A
33    2614836     1000110100      27E634
34    7406772     10110100        7104B4
35    2384190     100111110       24613E
36    398347      1011             6140B
37    8698503     1010000111      84BA87
38    9551696     1101010000      91BF50
39    1019556     1010100100       F8EA4
40    1677430     1110110         199876
41    3479629     1001101         35184D
42    9309008     1101010000      8E0B50
43    5266170     1011111010      505AFA
44    4094340     110000100       3E7984
45    1754055     1111000111      1AC3C7
46    5861132     1100001100      596F0C
47    4471329     1000100001      443A21
48    8826052     11000100        86ACC4
49    7469325     100001101       71F90D
50    1973172     1110110100      1E1BB4
51    53145       1110011001        CF99
52    3897508     10100100        3B78A4
53    7773386     11001010        769CCA
54    6089829     1100101         5CEC65
55    4223424     111000000       4071C0
56    9761752     1111011000      94F3D8
57    7930799     1110101111      7903AF
58    3597495     10110111        36E4B7
59    9302948     1110100100      8DF3A4
60    2288712     1001000         22EC48
61    197187      1001000011       30243
62    5266939     111111011       505DFB
63    221545      101101001        36169
64    7957027     1000100011      796A23
65    3195361     111100001       30C1E1
66    7106269     1011011101      6C6EDD
67    9633312     1000100000      92FE20
68    9713704     101000          943828
69    91925       1100010101       16715
70    4418686     1111110         436C7E
71    9682250     101001010       93BD4A
72    2583824     100010000       276D10
73    4979126     110110110       4BF9B6
74    6280954     1011111010      5FD6FA
75    1228610     1101000010      12BF42
76    705518      1111101110       AC3EE
77    1017653     1100110101       F8735
78    500098      110000010        7A182
79    7210727     1011100111      6E06E7
80    4250898     100010010       40DD12
81    4055028     1111110100      3DDFF4
82    2754240     1011000000      2A06C0
83    452999      110000111        6E987
84    6831458     101100010       683D62
85    207636      1100010100       32B14
86    7280635     1111111011      6F17FB
87    3308937     110001001       327D89
88    4303570     1011010010      41AAD2
89    8375055     1100001111      7FCB0F
90    1457960     1100101000      163F28
91    5197625     1100111001      4F4F39
92    3144371     1010110011      2FFAB3
93    6674138     1011011010      65D6DA
94    2692106     1010            29140A
95    2276769     110100001       22BDA1
96    1940971     111101011       1D9DEB
97    3288264     11001000        322CC8
98    4819803     1101011011      498B5B
99    9431005     1111011101      8FE7DD
100   3992019     111010011       3CE9D3
101   8184782     1111001110      7CE3CE
102   2847975     11100111        2B74E7
103   7891025     1010001         786851
104   900082      1111110010       DBBF2
105   1831532     1001101100      1BF26C
106   8428253     1011011101      809ADD
107   2905752     1010011000      2C5698
108   9763121     100110001       94F931
109   257890      1101100010       3EF62
110   4699761     1001110001      47B671
111   359541      1110101          57C75
112   3446150     110000110       349586
113   4246818     100100010       40CD22
114   1848840     1000001000      1C3608
115   938480      111110000        E51F0
116   227465      10001001         37889
117   3923488     1000100000      3BDE20
118   8915697     1011110001      880AF1
119   4309094     1100110         41C066
120   3891251     110011          3B6033
121   8627956     1011110100      83A6F4
122   5884613     1011000101      59CAC5
123   1659318     110110110       1951B6
124   1834855     1101100111      1BFF67
125   3386751     101111111       33AD7F
126   3000166     1101100110      2DC766
127   9135626     1000001010      8B660A
128   4869260     10001100        4A4C8C
129   76550       1100000110       12B06
130   432271      10001111         6988F
131   251028      10010100         3D494
132   7016218     1100011010      6B0F1A
133   6896099     111100011       6939E3
134   8386350     1100101110      7FF72E
135   8637147     1011011011      83CADB
136   936705      1100000001       E4B01
137   6602175     110111111       64BDBF
138   1429181     1010111101      15CEBD
139   8395138     110000010       801982
140   6132809     1001001         5D9449
141   5936917     1100010101      5A9715
142   2878578     1110010         2BEC72
143   158885      10100101         26CA5
144   2441957     1011100101      2542E5
145   5914794     10101010        5A40AA
146   3999272     1000101000      3D0628
147   3142897     11110001        2FF4F1
148   8151159     1110111         7C6077
149   5147564     1110101100      4E8BAC
150   4595374     1010101110      461EAE
151   4234951     1011000111      409EC7
152   7880605     1110011101      783F9D
153   7009921     1010000001      6AF681
154   695580      100011100        A9D1C
155   7370443     1011001011      7076CB
156   7921729     1000001         78E041
157   8419625     100101001       807929
158   7024080     111010000       6B2DD0
159   3905988     111000100       3B99C4
160   1767599     10101111        1AF8AF
161   935136      11100000         E44E0
162   635788      1110001100       9B38C
163   8807719     100100111       866527
164   317375      1110111111       4D7BF
165   9975410     1001110010      983672
166   2727968     100000          29A020
167   7444399     1110101111      7197AF
168   4065675     110001011       3E098B
169   9925720     1011000         977458
170   2293633     1110000001      22FF81
171   7734826     1000101010      76062A
172   1065463     111110111       1041F7
173   1105617     1011010001      10DED1
174   5325800     1111101000      5143E8
175   3822527     1110111111      3A53BF
176   5503858     1101110010      53FB72
177   9214055     1100111         8C9867
178   6521769     1110101001      6383A9
179   7923796     1010100         78E854
180   5250236     10111100        501CBC
181   1083154     1100010010      108712
182   472141      1001101          7344D
183   9597454     1000001110      92720E
184   1581679     1001101111      18226F
185   656751      101101111        A056F
186   345464      101111000        54578
187   4281218     1110000010      415382
188   6558883     10100011        6414A3
189   3852986     1010111010      3ACABA
190   6263187     110010011       5F9193
191   5828308     1011010100      58EED4
192   8058535     1010100111      7AF6A7
193   9035191     110110111       89DDB7
194   7922103     110110111       78E1B7
195   9366003     111110011       8EE9F3
196   4555717     1111000101      4583C5
197   3526753     1100001         35D061
198   3176815     101101111       30796F
199   858440      101001000        D1948
200   2250854     1100110         225866
Execution time: 0.000813 seconds
